AGREEMENT_RK,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,OWN_AUTO,FL_PRESENCE_FL,FAMILY_INCOME,PERSONAL_INCOME,CREDIT,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET
66756441,45,0,Среднее,Состою в браке,2 и больше,1,1,0,0,1,от 20000 до 50000 руб.,20000,8793,4,4,0
65405795,25,1,Среднее,Состою в браке,0,0,1,0,0,1,от 20000 до 50000 руб.,9000,7999,2,2,0
62083785,62,1,Среднее специальное,Состою в браке,2 и больше,0,1,1,0,1,от 20000 до 50000 руб.,13000,35000,1,0,0
62128075,30,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,от 20000 до 50000 руб.,11000,25899,1,0,0
61427836,56,1,Неполное среднее,Состою в браке,2 и больше,0,1,1,0,1,от 20000 до 50000 руб.,20000,11400,1,1,0
62599729,36,1,Среднее,Не состоял в браке,1,1,1,0,0,1,от 10000 до 20000 руб.,15000,11085,1,0,0
62623117,55,1,Высшее,Состою в браке,2 и больше,0,1,0,0,0,от 10000 до 20000 руб.,13000,23516,1,0,0
61253219,29,0,Среднее,Не состоял в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,25000,18175,1,0,0
63913234,32,0,Среднее специальное,Состою в браке,2 и больше,1,1,0,1,0,от 20000 до 50000 руб.,21000,19602,1,0,0
67020373,36,0,Среднее,Состою в браке,1,1,1,0,1,0,от 20000 до 50000 руб.,15000,11550,2,2,0
61306799,27,0,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,1,от 10000 до 20000 руб.,6500,22230,1,0,0
61378742,41,0,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,10000,21500,1,0,0
67531672,54,1,Среднее,Вдовец/Вдова,2 и больше,0,0,1,0,0,от 5000 до 10000 руб.,6500,8186,1,0,0
60468475,52,0,Среднее специальное,Состою в браке,1,0,1,0,0,1,от 20000 до 50000 руб.,30000,14990,1,1,0
66961178,28,1,Среднее специальное,Разведен(а),1,1,1,0,0,0,от 10000 до 20000 руб.,12000,10551,1,0,0
66902951,26,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,8000,8770,1,0,0
61958864,27,0,Среднее,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,20000,13978,1,0,0
64564180,28,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,12000,7740,1,0,1
61243509,25,1,Среднее специальное,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,11000,9400,1,0,0
72289471,39,1,Среднее,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,8000,3150,2,1,0
66661261,64,1,Высшее,Вдовец/Вдова,0,0,1,0,0,1,от 20000 до 50000 руб.,23000,24520,1,0,1
63907628,43,0,Неполное среднее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,20000,20450,1,0,0
65007484,44,0,Среднее специальное,Гражданский брак,0,0,1,0,0,1,от 20000 до 50000 руб.,22000,26400,1,0,0
64335140,34,1,Высшее,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,15000,21724,1,0,0
66745524,34,1,Среднее,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,7000,4520,2,2,1
61938660,51,1,Среднее,Не состоял в браке,1,0,1,0,0,0,от 5000 до 10000 руб.,7500,5580,2,2,0
75214244,40,0,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,15000,7940,1,0,0
62094470,27,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,от 10000 до 20000 руб.,12000,23000,1,0,1
59930422,29,0,Высшее,Не состоял в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,20000,24330,1,1,0
60098380,42,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,11000,23320,1,0,0
62384561,50,1,Среднее специальное,Состою в браке,1,0,1,0,0,0,от 10000 до 20000 руб.,10000,10000,1,0,0
59962548,26,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,15000,4208,1,1,0
61244949,22,0,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,от 10000 до 20000 руб.,10000,11900,1,0,1
62249206,57,0,Высшее,Состою в браке,2 и больше,1,1,1,1,1,свыше 50000 руб.,23000,9120,1,0,0
62786543,50,1,Среднее специальное,Вдовец/Вдова,0,0,1,0,0,1,от 20000 до 50000 руб.,15000,10836,1,0,0
61423700,35,0,Среднее,Состою в браке,1,1,1,0,0,1,от 10000 до 20000 руб.,12500,7020,1,0,0
66771811,55,1,Среднее,Не состоял в браке,1,0,1,1,0,0,от 20000 до 50000 руб.,20000,30599,2,2,0
66670943,34,0,Высшее,Состою в браке,0,1,1,0,1,0,от 10000 до 20000 руб.,12000,10322,3,3,0
62236055,28,0,Среднее специальное,Состою в браке,1,1,1,0,0,1,от 10000 до 20000 руб.,6000,24640,1,0,0
62593286,59,0,Неполное среднее,Состою в браке,2 и больше,0,1,0,0,0,от 20000 до 50000 руб.,17500,8064,1,0,0
66782719,47,1,Высшее,Не состоял в браке,1,0,1,0,0,1,от 10000 до 20000 руб.,18000,10990,3,3,0
66432857,41,1,Среднее,Разведен(а),2 и больше,2 и больше,1,0,0,1,от 10000 до 20000 руб.,9000,9000,2,2,0
66530733,36,1,Среднее,Разведен(а),0,0,1,0,0,0,от 10000 до 20000 руб.,7000,24000,2,2,1
61467586,55,0,Среднее,Состою в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,18000,13190,1,0,0
61845475,52,0,Среднее специальное,Не состоял в браке,1,0,1,0,0,1,от 20000 до 50000 руб.,25000,12593,1,0,0
74995307,46,0,Высшее,Состою в браке,2 и больше,0,1,0,0,0,свыше 50000 руб.,30000,40574,1,0,1
59973701,23,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,7000,6785,1,0,0
67321747,23,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,9000,13949,1,0,0
64471913,40,1,Высшее,Не состоял в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,15000,56000,1,0,0
61231849,36,1,Среднее специальное,Разведен(а),2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,11000,2578,1,1,0
63986090,23,0,Среднее,Состою в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,15000,17000,1,0,0
62024184,40,1,Высшее,Состою в браке,1,0,1,0,1,0,от 20000 до 50000 руб.,25000,21400,1,0,0
66760003,61,0,Среднее,Вдовец/Вдова,0,0,0,1,0,1,от 5000 до 10000 руб.,8500,2990,3,3,0
64551242,48,0,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,9000,15290,2,0,0
61316755,52,1,Среднее,Состою в браке,0,0,1,0,0,0,от 5000 до 10000 руб.,5000,12830,1,0,0
63094088,41,0,Высшее,Состою в браке,1,1,1,0,0,1,свыше 50000 руб.,40000,13480,1,0,0
67173594,44,1,Среднее,Не состоял в браке,2 и больше,1,1,0,1,1,от 20000 до 50000 руб.,30000,15750,2,2,1
62799248,36,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,8000,5400,1,0,0
62776533,42,0,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,12000,23930,1,0,0
61236972,22,1,Среднее специальное,Состою в браке,0,1,1,0,0,0,от 20000 до 50000 руб.,14000,25000,1,0,1
60106019,49,1,Среднее специальное,Состою в браке,2 и больше,0,1,0,0,1,от 20000 до 50000 руб.,17000,18667,1,0,0
62809362,39,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 5000 до 10000 руб.,5000,8120,1,0,0
61151593,41,0,Среднее специальное,Не состоял в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,25000,15560,1,0,0
74190360,63,1,Среднее,Разведен(а),2 и больше,0,0,1,0,0,от 5000 до 10000 руб.,6000,8990,1,1,0
62023684,33,1,Среднее специальное,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,15000,17500,1,0,0
61079700,38,0,Высшее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,16000,10000,1,1,0
72285109,29,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,10000,4704,1,1,0
73827016,49,1,Среднее,Вдовец/Вдова,1,1,1,0,0,1,от 10000 до 20000 руб.,8000,13312,2,1,0
61372316,50,1,Среднее специальное,Состою в браке,2 и больше,0,1,0,0,1,от 20000 до 50000 руб.,6000,10616,1,0,0
59939829,48,0,Среднее,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,12000,8700,1,1,0
64839795,42,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,11000,20790,1,0,0
64563165,39,0,Высшее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,18000,4440,1,0,0
66524810,61,1,Высшее,Не состоял в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,17000,15230,2,2,0
60096783,42,1,Среднее,Вдовец/Вдова,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,14000,6834,1,0,0
65482083,23,1,Высшее,Не состоял в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,10000,13380,2,2,0
74467755,28,1,Высшее,Не состоял в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,15000,33500,4,4,0
64445162,56,1,Высшее,Вдовец/Вдова,0,0,1,1,0,0,от 20000 до 50000 руб.,30000,15291,1,1,0
66700908,28,1,Высшее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,18000,11000,1,1,0
61110489,27,0,Среднее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,25000,21736,1,0,0
74544319,46,1,Среднее,Не состоял в браке,1,0,1,0,0,0,от 10000 до 20000 руб.,11000,12470,3,2,0
64995451,38,1,Среднее специальное,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,15000,21279,1,1,0
64827687,35,1,Среднее,Состою в браке,2 и больше,2 и больше,1,0,0,1,от 10000 до 20000 руб.,8700,8390,1,0,0
67421931,37,1,Высшее,Состою в браке,1,1,1,0,1,0,от 10000 до 20000 руб.,20000,18500,1,0,1
75017098,49,0,Среднее,Состою в браке,2 и больше,1,1,0,0,0,от 20000 до 50000 руб.,15000,23331,2,2,0
74460711,37,0,Среднее,Состою в браке,2 и больше,2 и больше,1,0,1,0,от 20000 до 50000 руб.,40000,14965,2,2,1
60086903,36,1,Среднее специальное,Разведен(а),2 и больше,2 и больше,1,0,0,1,от 10000 до 20000 руб.,20000,7709,1,0,0
61054691,51,0,Среднее специальное,Не состоял в браке,2 и больше,0,1,0,0,0,от 10000 до 20000 руб.,12000,4812,1,1,0
73830243,47,1,Высшее,Состою в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,10000,29471,1,0,1
75021931,46,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,20000,14796,1,1,0
62590815,28,1,Высшее,Разведен(а),1,1,1,0,0,1,свыше 50000 руб.,55000,78800,1,0,1
60465966,53,1,Высшее,Не состоял в браке,2 и больше,0,1,0,0,1,от 20000 до 50000 руб.,20000,3498,1,1,0
66420656,26,0,Среднее,Состою в браке,1,1,1,0,0,1,от 10000 до 20000 руб.,9000,7000,2,2,0
66773911,61,0,Высшее,Состою в браке,2 и больше,0,1,0,0,0,от 10000 до 20000 руб.,14000,13950,2,2,1
60466295,48,1,Среднее,Состою в браке,2 и больше,0,1,0,0,0,от 10000 до 20000 руб.,7000,15210,1,0,0
61111863,30,1,Среднее специальное,Не состоял в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,16000,17900,1,0,0
64898724,22,0,Среднее специальное,Состою в браке,1,0,1,0,1,0,от 20000 до 50000 руб.,20000,11440,1,0,1
61235487,53,1,Высшее,Состою в браке,2 и больше,0,1,0,0,1,от 10000 до 20000 руб.,8000,14461,1,1,0
61299664,56,1,Среднее специальное,Состою в браке,1,0,1,0,0,0,от 10000 до 20000 руб.,11500,5400,1,1,0
62994403,54,0,Среднее,Гражданский брак,2 и больше,0,1,0,1,0,от 10000 до 20000 руб.,8000,5850,1,0,0
67322945,40,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,35000,21827,1,0,0
67426389,56,0,Среднее специальное,Состою в браке,1,0,0,1,0,0,от 10000 до 20000 руб.,9000,24500,1,0,0
61302471,46,1,Высшее,Состою в браке,0,0,1,0,0,1,от 10000 до 20000 руб.,9000,6290,1,1,0
61151598,52,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,15000,38408,1,0,0
62185166,32,0,Среднее,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,12000,24220,1,0,1
64592177,59,0,Высшее,Состою в браке,1,0,0,1,0,1,от 10000 до 20000 руб.,7000,4710,1,1,0
67533565,35,0,Среднее,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,17000,17660,2,2,0
61234815,26,0,Среднее,Не состоял в браке,0,0,1,0,0,0,от 5000 до 10000 руб.,8000,7629,1,0,0
74187392,39,0,Среднее специальное,Гражданский брак,1,1,1,0,0,0,от 10000 до 20000 руб.,11000,13080,3,2,0
74984325,40,1,Среднее,Состою в браке,2 и больше,2 и больше,1,0,0,1,от 20000 до 50000 руб.,20000,28666,2,1,0
59963388,57,0,Среднее,Состою в браке,2 и больше,0,1,0,1,0,от 10000 до 20000 руб.,7000,2650,1,1,0
66521201,60,1,Среднее,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,20000,10190,2,2,0
66849149,45,1,Среднее,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,8600,20650,3,2,0
64359123,40,0,Среднее,Состою в браке,2 и больше,2 и больше,1,0,0,0,свыше 50000 руб.,45000,57593,1,0,0
62508107,38,0,Высшее,Состою в браке,1,0,1,0,0,0,от 5000 до 10000 руб.,8000,8280,1,1,0
61428784,22,0,Среднее,Не состоял в браке,0,0,1,0,1,0,от 20000 до 50000 руб.,15000,8998,1,0,0
67316365,49,0,Среднее,Состою в браке,2 и больше,0,1,0,0,1,от 5000 до 10000 руб.,12000,35332,2,1,0
63810875,53,1,Среднее,Гражданский брак,1,0,0,1,0,1,от 10000 до 20000 руб.,8500,3500,3,2,1
66913678,40,1,Среднее специальное,Состою в браке,1,0,1,0,0,0,от 10000 до 20000 руб.,15000,9900,1,0,0
66584918,57,0,Среднее,Состою в браке,2 и больше,0,1,0,1,1,от 20000 до 50000 руб.,17000,10790,3,3,0
64003837,34,0,Высшее,Не состоял в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,21000,18840,1,1,0
63911375,56,1,Среднее,Разведен(а),1,0,1,1,0,1,от 20000 до 50000 руб.,6000,24220,1,0,1
64437168,32,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,15000,10113,1,0,0
74016494,23,1,Среднее,Не состоял в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,7000,4500,1,0,0
67435863,54,1,Среднее специальное,Не состоял в браке,0,0,0,1,0,1,от 10000 до 20000 руб.,11000,5489,1,0,0
63891476,33,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 5000 до 10000 руб.,6000,10590,1,0,0
67083166,33,0,Среднее,Состою в браке,1,2 и больше,1,0,0,0,от 10000 до 20000 руб.,14000,10286,4,4,0
61537559,23,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,12000,5050,1,1,0
63604196,34,0,Высшее,Состою в браке,1,1,1,0,1,1,от 20000 до 50000 руб.,20000,6660,1,1,0
63898906,64,1,Среднее специальное,Не состоял в браке,2 и больше,0,0,1,0,0,от 5000 до 10000 руб.,6000,25100,1,0,0
66741910,37,1,Высшее,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,20000,20480,3,2,0
61974001,44,1,Среднее специальное,Состою в браке,2 и больше,0,1,0,0,0,от 20000 до 50000 руб.,12000,3330,1,0,0
66761419,26,0,Среднее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,16000,31263,2,2,0
67217992,43,1,Среднее специальное,Разведен(а),2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,10000,7905,2,2,0
61367683,49,1,Среднее специальное,Состою в браке,1,0,1,0,0,1,от 20000 до 50000 руб.,15000,3280,1,0,0
62255169,44,1,Среднее специальное,Разведен(а),1,0,1,0,0,0,от 10000 до 20000 руб.,10000,3168,2,0,0
63273839,60,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,15000,20690,1,0,0
75289228,34,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,10000,26337,1,0,0
63922027,53,1,Среднее специальное,Вдовец/Вдова,0,0,1,0,0,0,от 10000 до 20000 руб.,10000,10980,1,0,0
74551521,56,1,Среднее,Разведен(а),2 и больше,0,1,0,0,1,от 10000 до 20000 руб.,14000,3160,3,3,0
64367877,49,1,Среднее специальное,Состою в браке,2 и больше,1,1,0,0,0,от 10000 до 20000 руб.,7000,3440,1,0,0
60051963,49,1,Среднее специальное,Разведен(а),0,0,1,0,0,0,от 20000 до 50000 руб.,30000,21750,1,1,1
61872969,34,1,Среднее специальное,Вдовец/Вдова,2 и больше,1,0,1,0,0,от 10000 до 20000 руб.,11000,15950,1,0,0
66741232,41,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,1,0,от 10000 до 20000 руб.,9340,2620,3,3,1
66199923,26,1,Высшее,Состою в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,13000,4548,1,0,0
60389929,40,1,Высшее,Состою в браке,1,0,1,0,0,1,от 20000 до 50000 руб.,13000,16438,1,0,0
63001854,42,1,Среднее специальное,Состою в браке,2 и больше,1,1,0,0,0,от 10000 до 20000 руб.,7500,26390,1,0,0
61149628,37,1,Среднее специальное,Разведен(а),1,1,1,0,0,0,от 5000 до 10000 руб.,7000,4140,1,0,0
75202163,38,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,7800,13671,1,0,0
62032105,45,1,Среднее специальное,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,7000,5058,1,0,0
67438464,49,1,Среднее,Состою в браке,2 и больше,0,1,0,0,0,от 10000 до 20000 руб.,8200,20007,2,1,0
61938570,39,1,Среднее,Состою в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,6700,3383,1,1,0
61466005,36,1,Высшее,Разведен(а),1,1,1,0,1,0,свыше 50000 руб.,80000,59224,2,1,0
64912588,42,0,Среднее,Состою в браке,2 и больше,0,1,0,1,0,от 20000 до 50000 руб.,15000,12580,1,0,1
63599601,29,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,10000,4498,1,0,0
64886008,45,1,Высшее,Состою в браке,2 и больше,0,1,0,0,1,от 20000 до 50000 руб.,20000,40000,1,0,0
67084430,51,1,Среднее специальное,Состою в браке,2 и больше,0,1,0,0,1,от 20000 до 50000 руб.,14000,8788,1,1,0
60059563,56,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 20000 до 50000 руб.,13000,24552,1,1,0
74481609,33,0,Высшее,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,16000,12816,1,0,0
61111134,24,1,Среднее специальное,Состою в браке,0,0,1,0,0,1,от 20000 до 50000 руб.,15000,6622,1,0,0
61298098,46,0,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,1,от 20000 до 50000 руб.,22000,17950,1,0,1
61309526,39,0,Среднее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,30000,13990,1,0,0
60059582,49,0,Высшее,Состою в браке,2 и больше,1,1,0,0,0,от 20000 до 50000 руб.,25000,30590,1,0,0
74041324,49,1,Среднее,Не состоял в браке,0,0,1,0,0,1,от 5000 до 10000 руб.,7000,11550,1,0,0
63002506,49,0,Высшее,Состою в браке,2 и больше,0,1,1,0,1,от 20000 до 50000 руб.,20000,10230,1,0,0
72272351,26,0,Среднее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,16000,25683,1,0,0
67419243,61,0,Среднее,Состою в браке,0,0,0,1,0,0,от 5000 до 10000 руб.,8000,6492,1,0,0
60106578,42,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,22000,6452,1,0,0
67070426,39,1,Среднее,Состою в браке,1,0,1,0,0,0,от 10000 до 20000 руб.,15000,13900,3,2,0
62141879,52,1,Среднее специальное,Состою в браке,1,0,1,0,0,0,от 20000 до 50000 руб.,20000,20636,1,0,0
66534703,38,1,Среднее,Не состоял в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,11000,10323,2,2,0
61530018,49,1,Среднее специальное,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,9000,13734,1,1,0
63921231,51,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,0,1,0,0,от 20000 до 50000 руб.,12800,25881,1,0,0
61538643,60,1,Среднее специальное,Состою в браке,2 и больше,0,1,0,0,1,от 10000 до 20000 руб.,7000,12680,1,0,1
74555752,42,1,Среднее,Состою в браке,1,1,1,0,0,1,от 20000 до 50000 руб.,10500,12590,2,2,0
65201789,57,1,Среднее специальное,Вдовец/Вдова,2 и больше,0,0,1,0,0,от 5000 до 10000 руб.,7000,9557,1,0,0
61164289,41,1,Среднее специальное,Состою в браке,2 и больше,1,1,0,0,1,от 20000 до 50000 руб.,20000,34391,1,0,0
61438860,47,1,Высшее,Не состоял в браке,2 и больше,1,1,0,0,1,от 5000 до 10000 руб.,8000,4930,3,1,0
62605205,34,1,Высшее,Состою в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,12000,4500,1,1,1
64346113,32,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,5500,19980,1,0,0
74274221,38,1,Высшее,Не состоял в браке,2 и больше,0,1,0,1,1,от 20000 до 50000 руб.,30000,19051,1,0,1
65501297,26,1,Среднее специальное,Разведен(а),1,1,1,0,0,0,от 20000 до 50000 руб.,8000,13698,1,1,0
66521740,39,0,Среднее,Не состоял в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,18000,6166,4,4,0
67316223,35,0,Среднее,Состою в браке,1,1,1,0,0,0,от 20000 до 50000 руб.,25000,30946,1,0,0
61127390,37,0,Среднее специальное,Состою в браке,1,0,1,0,0,0,от 20000 до 50000 руб.,24000,30960,1,1,0
66077870,22,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,10500,5390,1,1,0
66895275,61,0,Среднее,Состою в браке,2 и больше,0,0,1,1,1,от 10000 до 20000 руб.,7000,8849,2,1,0
61540822,36,0,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,1,от 20000 до 50000 руб.,16000,13018,1,1,0
67533844,27,1,Среднее специальное,Не состоял в браке,1,1,1,0,0,1,от 5000 до 10000 руб.,9000,6424,2,1,0
61522740,43,0,Высшее,Состою в браке,1,0,1,0,1,0,от 20000 до 50000 руб.,15000,5090,1,0,0
74181771,60,1,Среднее,Состою в браке,2 и больше,2 и больше,1,0,1,1,от 10000 до 20000 руб.,6000,4042,3,3,0
